deviceId,deviceName,startTime,endTime,taskType,durationSeconds,actualCleaningAreaSquareMeter,plannedCleaningAreaSquareMeter,waterConsumptionLiter,batteryConsumption,taskEndStatus
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-21T22:49:28.000Z,2025-10-21T22:53:05.000Z,2층전체청소하기: F2,0,0,3743.1226115537443,0,0,1
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-21T22:56:06.000Z,2025-10-22T02:49:14.000Z,2층전체청소하기: F2,13244,3583.6376068007207,3788.5426129073653,495.996104,65,0
GS100-0210-EBN-C000,고양스타필드 주차장 X SC75,2025-10-21T23:50:08.000Z,2025-10-22T08:17:23.000Z,2: B2,10808,2246.7375669579965,2396.150071410835,229.41235,39,0
GS100-0210-F3P-H000,고양스타필드 1호기 X SC75,2025-10-22T01:53:30.000Z,2025-10-22T01:53:44.000Z,3층전체청소하기: F3,0,0,3742.4526115337767,0,0,1
GS100-0210-F3P-H000,고양스타필드 1호기 X SC75,2025-10-22T02:11:01.000Z,2025-10-22T21:51:10.000Z,B1층식당가전체: B1-WEST원래지도,3133,1000.1050298054519,1283.7475382586572,125.186959,-64,1
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-22T21:59:57.000Z,2025-10-23T01:45:04.000Z,2층전체청소하기: F2,12834,3599.8776072847104,3796.6801131498823,483.227954,62,0
GS100-0210-F3P-H000,고양스타필드 1호기 X SC75,2025-10-22T22:02:43.000Z,2025-10-23T02:15:43.000Z,3층전체청소하기: F3,14436,3493.0101040998106,3787.7026128823322,492.239612,73,0
GS100-0210-EBN-C000,고양스타필드 주차장 X SC75,2025-10-22T23:50:09.000Z,2025-10-23T06:28:32.000Z,3: B2,10586,2401.720071576834,2618.7400780445337,223.88617399999998,46,0
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-23T01:49:07.000Z,2025-10-23T03:10:26.000Z,B1층식당가전체: B1_WEST,4491,1310.4600390547516,1389.6400414144996,170.90475899999996,25,0
GS100-0210-F3P-H000,고양스타필드 1호기 X SC75,2025-10-23T02:19:26.000Z,2025-10-23T03:01:21.000Z,3번노드: B1_EAST,2451,633.2250188715757,680.5925202832373,86.02985999999993,10,0
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-23T21:59:17.000Z,2025-10-24T02:16:06.000Z,2층전체청소하기: F2,12962,3610.7326076082154,3800.4976132636525,498.702575,68,0
GS100-0210-F3P-H000,고양스타필드 1호기 X SC75,2025-10-23T22:02:32.000Z,2025-10-24T02:26:55.000Z,3층전체청소하기: F3,15182,3630.5651081992696,3838.327614391075,511.846747,76,0
GS100-0210-EBN-C000,고양스타필드 주차장 X SC75,2025-10-23T23:50:08.000Z,2025-10-24T08:00:20.000Z,4: B2,13221,2650.702578997091,2811.1125837776817,259.243664,56,0
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-24T02:20:18.000Z,2025-10-24T04:20:41.000Z,B1층식당가전체: B1_WEST,4836,1316.8350392447414,1387.0600413376096,184.29952699999973,17,0
